"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",54,44,10,0,1,381,"coding"
"TP53",146,35,111,0,1,328,"coding"
"TTN",12,8,4,0,1,293,"coding"
"LRP2",24,14,10,0,1,39,"coding"
"LRP1",51,39,12,0,1,33,"coding"
"MAP2K4",50,43,7,0,1,33,"coding"
"RYR1",8,4,4,0,1,30,"coding"
"AKAP9",42,38,4,0,1,27,"coding"
"LYST",25,22,3,0,1,27,"coding"
"PRKDC",69,61,8,0,1,26,"coding"
"FLNA",71,58,13,0,1,24,"coding"
"MED12",15,13,2,0,1,24,"coding"
"VCAN",69,59,10,0,1,24,"coding"
"RB1",135,115,20,0,1,23,"coding"
"ZFHX3",106,105,1,0,1,21,"coding"
"BRCA2",20,16,4,0,1,19,"coding"
"PIK3R1",129,87,42,0,1,18,"coding"
"SF3B1",49,43,6,0,1,18,"coding"
"CACNA1C",71,70,1,0,1,17,"coding"
"CHD3",45,32,13,0,1,16,"coding"
"HSPG2",33,28,5,0,1,16,"coding"
"POLA1",16,13,3,0,1,16,"coding"
"PTPN13",25,21,4,0,1,16,"coding"
"SPTAN1",25,19,6,0,1,16,"coding"
"TLN1",77,71,6,0,1,16,"coding"
"ATN1",46,32,14,0,1,15,"coding"
"CBLB",46,38,8,0,1,15,"coding"
"CNKSR2",32,31,1,0,1,15,"coding"
"CREBBP",294,86,208,0,1,15,"coding"
"DLG1",39,17,22,0,1,15,"coding"
"MPDZ",17,12,5,0,1,15,"coding"
"EP300",167,145,22,0,1,14,"coding"
"HTT",60,49,11,0,1,14,"coding"
"NUP98",46,40,6,0,1,14,"coding"
"RANBP2",62,51,11,0,1,14,"coding"
"TOPBP1",29,26,3,0,1,14,"coding"
"ARHGEF12",54,48,6,0,1,13,"coding"
"ATR",19,13,6,0,1,13,"coding"
"CASP8",47,28,19,0,1,13,"coding"
"FN1",85,70,15,0,1,13,"coding"
"GNAS",57,54,3,0,1,13,"coding"
"NOS1",18,13,5,0,1,13,"coding"
"PLCB1",26,22,4,0,1,13,"coding"
"ROBO2",46,38,8,0,1,13,"coding"
"ABCA1",54,48,6,0,1,12,"coding"
"CNTNAP2",26,24,2,0,1,12,"coding"
"HTATSF1",9,7,2,0,1,12,"coding"
"JAK1",72,46,26,0,1,12,"coding"
"MYB",364,33,331,0,1,12,"coding"
"NID1",45,43,2,0,1,12,"coding"
"PTCH1",31,30,1,0,1,12,"coding"
"PTPRB",41,38,3,0,1,12,"coding"
"PTPRZ1",15,11,4,0,1,12,"coding"
"TCF12",310,26,284,0,1,12,"coding"
"AP3B1",41,38,3,0,1,11,"coding"
"BACH2",104,83,21,0,1,11,"coding"
"GPRASP1",25,9,16,0,1,11,"coding"
"GPRASP2",21,10,11,0,1,11,"coding"
"INSR",72,48,24,0,1,11,"coding"
"MAP1B",106,98,8,0,1,11,"coding"
"MYLK",69,65,4,0,1,11,"coding"
"NFASC",12,11,1,0,1,11,"coding"
"NLGN3",13,11,2,0,1,11,"coding"
"PRKCQ",14,9,5,0,1,11,"coding"
"RET",29,19,10,0,1,11,"coding"
"XRN1",60,54,6,0,1,11,"coding"
"AFF1",88,77,11,0,1,10,"coding"
"BMX",8,7,1,0,1,10,"coding"
"CDK5RAP2",8,6,2,0,1,10,"coding"
"HIPK2",46,43,3,0,1,10,"coding"
"IL1RAP",41,33,8,0,1,10,"coding"
"ITSN1",59,51,8,0,1,10,"coding"
"MAGI2",33,31,2,0,1,10,"coding"
"MED14",43,40,3,0,1,10,"coding"
"MET",67,50,17,0,1,10,"coding"
"PROX1",59,47,12,0,1,10,"coding"
"RIC8A",27,25,2,0,1,10,"coding"
"SATB1",68,62,6,0,1,10,"coding"
"SHANK1",14,5,9,0,1,10,"coding"
"SIN3A",61,55,6,0,1,10,"coding"
"SMC1A",74,67,7,0,1,10,"coding"
"TRAK2",32,30,2,0,1,10,"coding"
"UBR1",39,29,10,0,1,10,"coding"
"ACVR2A",59,57,2,0,1,9,"coding"
"APBA1",32,29,3,0,1,9,"coding"
"APP",106,85,21,0,1,9,"coding"
"ATXN1",172,145,27,0,1,9,"coding"
"CHUK",48,33,15,0,1,9,"coding"
"CUL9",8,6,2,0,1,9,"coding"
"ETV5",45,27,18,0,1,9,"coding"
"EWSR1",44,24,20,0,1,9,"coding"
"FLII",14,12,2,0,1,9,"coding"
"IL6ST",118,114,4,0,1,9,"coding"
"ITGB2",27,9,18,0,1,9,"coding"
"KIAA1377",44,19,25,0,1,9,"coding"
"NTRK1",11,3,8,0,1,9,"coding"
"PIK3CB",52,44,8,0,1,9,"coding"
"PRKCE",44,37,7,0,1,9,"coding"
"RFX4",9,8,1,0,1,9,"coding"
"RGS3",17,14,3,0,1,9,"coding"
"RPS6KA3",112,102,10,0,1,9,"coding"
"RTN4",45,39,6,0,1,9,"coding"
"SMARCC1",59,42,17,0,1,9,"coding"
"USP8",30,28,2,0,1,9,"coding"
"A2M",19,8,11,0,1,8,"coding"
"ABL1",77,46,31,0,1,8,"coding"
"ARHGEF7",28,22,6,0,1,8,"coding"
"BMPR2",105,92,13,0,1,8,"coding"
"CACHD1",19,18,1,0,1,8,"coding"
"CDC25C",14,9,5,0,1,8,"coding"
"CREB3L3",5,2,3,0,1,8,"coding"
"DLG2",49,34,15,0,1,8,"coding"
"EEF1A1",61,51,10,0,1,8,"coding"
"ELN",25,23,2,0,1,8,"coding"
"IARS",31,30,1,0,1,8,"coding"
"ILF3",40,39,1,0,1,8,"coding"
"IRF3",37,18,19,0,1,8,"coding"
"ITK",19,16,3,0,1,8,"coding"
"JAK3",28,16,12,0,1,8,"coding"
"KDR",52,31,21,0,1,8,"coding"
"MAPK8IP3",34,25,9,0,1,8,"coding"
"MCM10",36,28,8,0,1,8,"coding"
"NCOR2",91,52,39,0,1,8,"coding"
"NOTCH1",55,50,5,0,1,8,"coding"
"NR1H2",61,14,47,0,1,8,"coding"
"NUAK1",45,41,4,0,1,8,"coding"
"PARD3",45,39,6,0,1,8,"coding"
"PDGFRB",41,22,19,0,1,8,"coding"
"PKP4",27,26,1,0,1,8,"coding"
"PLCG1",81,58,23,0,1,8,"coding"
"PLCG2",79,63,16,0,1,8,"coding"
"POLR2B",24,23,1,0,1,8,"coding"
"PPL",29,28,1,0,1,8,"coding"
"PRKD2",28,24,4,0,1,8,"coding"
"PTK2",59,37,22,0,1,8,"coding"
"RAD50",24,21,3,0,1,8,"coding"
"RFC1",21,19,2,0,1,8,"coding"
"RFX3",45,44,1,0,1,8,"coding"
"SOS2",35,31,4,0,1,8,"coding"
"SPTBN1",56,51,5,0,1,8,"coding"
"SYNCRIP",105,104,1,0,1,8,"coding"
"TEK",18,11,7,0,1,8,"coding"
"THBS1",110,100,10,0,1,8,"coding"
"TJP1",60,53,7,0,1,8,"coding"
"USP13",30,26,4,0,1,8,"coding"
"ZNF638",43,38,5,0,1,8,"coding"
"ACTN4",44,42,2,0,1,7,"coding"
"AXIN1",37,20,17,0,1,7,"coding"
"BCAR1",33,26,7,0,1,7,"coding"
"BTK",41,10,31,0,1,7,"coding"
"CD72",5,4,1,0,1,7,"coding"
"CHM",11,10,1,0,1,7,"coding"
"CRMP1",34,24,10,0,1,7,"coding"
"DNM2",43,38,5,0,1,7,"coding"
"DPP4",17,10,7,0,1,7,"coding"
"FEZ1",15,5,10,0,1,7,"coding"
"FMR1",41,39,2,0,1,7,"coding"
"GDF9",10,4,6,0,1,7,"coding"
"GRIK3",59,58,1,0,1,7,"coding"
"HDAC4",53,50,3,0,1,7,"coding"
"IGF1R",184,169,15,0,1,7,"coding"
"IL16",17,12,5,0,1,7,"coding"
"IQGAP1",49,42,7,0,1,7,"coding"
"ITGAV",43,34,9,0,1,7,"coding"
"JAK2",60,31,29,0,1,7,"coding"
"LEPR",28,17,11,0,1,7,"coding"
"MCM7",68,57,11,0,1,7,"coding"
"MEIS1",48,41,7,0,1,7,"coding"
"PDGFRA",85,70,15,0,1,7,"coding"
"PHC2",35,31,4,0,1,7,"coding"
"PLA2G4A",39,32,7,0,1,7,"coding"
"POLR2A",76,67,9,0,1,7,"coding"
"PRKCB",46,36,10,0,1,7,"coding"
"PTK2B",36,20,16,0,1,7,"coding"
"RHOA",57,49,8,0,1,7,"coding"
"SMG5",18,17,1,0,1,7,"coding"
"TRIM24",48,40,8,0,1,7,"coding"
"VAV1",36,28,8,0,1,7,"coding"
"WRN",26,24,2,0,1,7,"coding"
"WWP1",40,37,3,0,1,7,"coding"
"ACTN1",44,36,8,0,1,6,"coding"
"AP2A1",29,23,6,0,1,6,"coding"
"ATF7IP",84,64,20,0,1,6,"coding"
"BLK",4,2,2,0,1,6,"coding"
"CCNB1",94,82,12,0,1,6,"coding"
"CLTC",101,88,13,0,1,6,"coding"
"CNKSR1",5,3,2,0,1,6,"coding"
"CSE1L",59,57,2,0,1,6,"coding"
"DISC1",34,32,2,0,1,6,"coding"
"EBF1",293,37,256,0,1,6,"coding"
"GNAZ",8,6,2,0,1,6,"coding"
"GRIN2D",18,12,6,0,1,6,"coding"
"HGS",37,20,17,0,1,6,"coding"
"HSPA8",85,71,14,0,1,6,"coding"
"HSPD1",49,43,6,0,1,6,"coding"
"IKBKB",31,28,3,0,1,6,"coding"
"IL4R",18,9,9,0,1,6,"coding"
"KAT2B",55,49,6,0,1,6,"coding"
"KIF5B",71,69,2,0,1,6,"coding"
"LYN",103,68,35,0,1,6,"coding"
"MAPK6",118,87,31,0,1,6,"coding"
"MEF2A",70,35,35,0,1,6,"coding"
"NCAM1",24,19,5,0,1,6,"coding"
"NCOA2",71,58,13,0,1,6,"coding"
"NCOA5",10,9,1,0,1,6,"coding"
"NEDD4",54,50,4,0,1,6,"coding"
"NFKB2",78,12,66,0,1,6,"coding"
"PIK3CG",23,21,2,0,1,6,"coding"
"PIK3R3",49,45,4,0,1,6,"coding"
"PIK3R5",7,6,1,0,1,6,"coding"
"PIP4K2C",43,37,6,0,1,6,"coding"
"PLAT",22,20,2,0,1,6,"coding"
"POLA2",47,43,4,0,1,6,"coding"
"PPP3CA",38,31,7,0,1,6,"coding"
"PRKAR1A",63,48,15,0,1,6,"coding"
"PRKD1",32,28,4,0,1,6,"coding"
"PRPF3",6,4,2,0,1,6,"coding"
"RBL1",75,70,5,0,1,6,"coding"
"RGS4",21,20,1,0,1,6,"coding"
"RIPK1",13,9,4,0,1,6,"coding"
"SH3D19",58,56,2,0,1,6,"coding"
"SMURF2",78,59,19,0,1,6,"coding"
"STAU1",45,38,7,0,1,6,"coding"
"STUB1",17,6,11,0,1,6,"coding"
"TARBP2",30,27,3,0,1,6,"coding"
"UBQLN4",49,28,21,0,1,6,"coding"
"USP7",40,36,4,0,1,6,"coding"
"VCL",114,84,30,0,1,6,"coding"
"WAS",25,12,13,0,1,6,"coding"
"WASF1",29,27,2,0,1,6,"coding"
"WNT5B",6,5,1,0,1,6,"coding"
"ACTB",126,103,23,0,1,5,"coding"
"ANXA1",19,13,6,0,1,5,"coding"
"ASCC2",18,14,4,0,1,5,"coding"
"BUB1B",11,9,2,0,1,5,"coding"
"CD22",10,7,3,0,1,5,"coding"
"CSF2RB",20,9,11,0,1,5,"coding"
"DLST",22,20,2,0,1,5,"coding"
"DPYSL2",41,40,1,0,1,5,"coding"
"E2F1",670,66,604,0,1,5,"coding"
"EED",43,41,2,0,1,5,"coding"
"EGFR",130,89,41,0,1,5,"coding"
"EIF2S2",46,43,3,0,1,5,"coding"
"ELK1",91,29,62,0,1,5,"coding"
"EPB41",67,50,17,0,1,5,"coding"
"ERCC3",17,14,3,0,1,5,"coding"
"F10",11,8,3,0,1,5,"coding"
"F2R",38,32,6,0,1,5,"coding"
"GGA1",36,31,5,0,1,5,"coding"
"GOLGA2",36,30,6,0,1,5,"coding"
"HDAC1",38,30,8,0,1,5,"coding"
"HOOK2",11,9,2,0,1,5,"coding"
"HTR2A",33,25,8,0,1,5,"coding"
"ITGB1",82,56,26,0,1,5,"coding"
"ITGB7",9,3,6,0,1,5,"coding"
"LRSAM1",16,11,5,0,1,5,"coding"
"LUC7L2",52,44,8,0,1,5,"coding"
"MAP2K1",52,45,7,0,1,5,"coding"
"MEN1",23,22,1,0,1,5,"coding"
"MMP3",12,9,3,0,1,5,"coding"
"NCOA1",95,64,31,0,1,5,"coding"
"NFKB1",168,33,135,0,1,5,"coding"
"NUP62",46,44,2,0,1,5,"coding"
"PNN",31,26,5,0,1,5,"coding"
"PORCN",4,3,1,0,1,5,"coding"
"PPARG",143,19,124,0,1,5,"coding"
"PRKCD",55,41,14,0,1,5,"coding"
"PRKG1",51,40,11,0,1,5,"coding"
"PRPF40A",76,61,15,0,1,5,"coding"
"PSEN2",15,9,6,0,1,5,"coding"
"PTGDS",6,4,2,0,1,5,"coding"
"SCARB1",18,17,1,0,1,5,"coding"
"SOS1",69,50,19,0,1,5,"coding"
"SYK",57,26,31,0,1,5,"coding"
"SYT2",50,49,1,0,1,5,"coding"
"TBC1D17",17,15,2,0,1,5,"coding"
"TES",56,52,4,0,1,5,"coding"
"TOP1",31,29,2,0,1,5,"coding"
"TRIM28",41,40,1,0,1,5,"coding"
"TRIM37",58,53,5,0,1,5,"coding"
"TRPC3",24,18,6,0,1,5,"coding"
"ZNF417",45,43,2,0,1,5,"coding"
"AP1M1",24,18,6,0,1,4,"coding"
"AP2B1",68,59,9,0,1,4,"coding"
"AP2M1",34,32,2,0,1,4,"coding"
"APLP2",38,37,1,0,1,4,"coding"
"APOA1",10,5,5,0,1,4,"coding"
"ARNT",51,26,25,0,1,4,"coding"
"BID",40,33,7,0,1,4,"coding"
"BTRC",72,61,11,0,1,4,"coding"
"CAMK2A",26,24,2,0,1,4,"coding"
"CAV1",93,68,25,0,1,4,"coding"
"CBL",107,80,27,0,1,4,"coding"
"CCR1",11,9,2,0,1,4,"coding"
"CD2",11,7,4,0,1,4,"coding"
"CD244",10,8,2,0,1,4,"coding"
"CD4",37,26,11,0,1,4,"coding"
"CD44",23,20,3,0,1,4,"coding"
"COL2A1",8,6,2,0,1,4,"coding"
"CSNK1A1",101,90,11,0,1,4,"coding"
"DCTN1",11,9,2,0,1,4,"coding"
"DNAJC3",35,32,3,0,1,4,"coding"
"EEF1D",48,43,5,0,1,4,"coding"
"ETS1",293,71,222,0,1,4,"coding"
"FAM46A",52,50,2,0,1,4,"coding"
"FGFR3",23,15,8,0,1,4,"coding"
"GIT1",41,31,10,0,1,4,"coding"
"GNA11",26,21,5,0,1,4,"coding"
"HAND2",71,33,38,0,1,4,"coding"
"HTRA1",18,12,6,0,1,4,"coding"
"IMMT",31,21,10,0,1,4,"coding"
"INPP5D",17,9,8,0,1,4,"coding"
"ITCH",34,32,2,0,1,4,"coding"
"ITGA6",40,32,8,0,1,4,"coding"
"ITGB5",28,18,10,0,1,4,"coding"
"KPNA2",84,81,3,0,1,4,"coding"
"KPNB1",88,74,14,0,1,4,"coding"
"KRT18",26,20,6,0,1,4,"coding"
"KRT5",6,3,3,0,1,4,"coding"
"MAP3K7",72,63,9,0,1,4,"coding"
"MAPT",54,46,8,0,1,4,"coding"
"MCM3",47,41,6,0,1,4,"coding"
"MED1",46,41,5,0,1,4,"coding"
"MEOX2",22,21,1,0,1,4,"coding"
"MPP3",8,7,1,0,1,4,"coding"
"NCF4",5,4,1,0,1,4,"coding"
"PAX3",28,26,2,0,1,4,"coding"
"PAX6",37,32,5,0,1,4,"coding"
"PDLIM7",17,14,3,0,1,4,"coding"
"PIK3R2",19,14,5,0,1,4,"coding"
"PKN1",18,16,2,0,1,4,"coding"
"PLAU",20,16,4,0,1,4,"coding"
"PRKCA",126,76,50,0,1,4,"coding"
"PROS1",5,2,3,0,1,4,"coding"
"RAF1",61,47,14,0,1,4,"coding"
"RALY",24,23,1,0,1,4,"coding"
"RFX2",12,10,2,0,1,4,"coding"
"RPS6KA5",76,70,6,0,1,4,"coding"
"SAFB",22,16,6,0,1,4,"coding"
"SDCBP2",3,1,2,0,1,4,"coding"
"SFPQ",226,71,155,0,1,4,"coding"
"SFRP1",19,18,1,0,1,4,"coding"
"SGK1",56,54,2,0,1,4,"coding"
"SGSM2",35,29,6,0,1,4,"coding"
"SHC1",41,33,8,0,1,4,"coding"
"SMAD3",158,49,109,0,1,4,"coding"
"SNAP25",24,22,2,0,1,4,"coding"
