No,Predicted_Driver,Degree,In-degree,Out-degree
1,ACP1,29,23,6
2,ACTC1,18,8,10
3,ACVR1,76,52,24
4,APOA2,2,1,1
5,ARL4D,22,20,2
6,ARPC3,19,15,4
7,ASIP,4,3,1
8,ATP5J2,13,10,3
9,AVP,6,4,2
10,BCL2,97,79,18
11,C14orf1,33,23,10
12,C1QBP,23,20,3
13,C1QTNF1,6,4,2
14,CALM1,95,72,23
15,CAMLG,26,21,5
16,CAPNS1,17,11,6
17,CBR3,3,2,1
18,CCDC85B,90,74,16
19,CCL25,2,1,1
20,CCL3,13,12,1
21,CCL4,8,3,5
22,CCL5,30,23,7
23,CD247,20,6,14
24,CD81,25,20,5
25,CDC42,73,44,29
26,CDK9,43,31,12
27,CEBPG,47,40,7
28,CHMP1B,28,26,2
29,CHMP4A,6,3,3
30,CIB1,12,9,3
31,CNOT7,25,22,3
32,CSK,38,29,9
33,CSNK2B,77,30,47
34,CXCL13,9,7,2
35,CYCS,73,71,2
36,DAZAP2,103,93,10
37,DUSP23,15,9,6
38,DVL2,31,20,11
39,DYNLL1,43,31,12
40,DYNLL2,53,51,2
41,E2F2,98,83,15
42,EBI3,10,9,1
43,EIF4EBP1,49,43,6
44,EVL,18,14,4
45,FADD,26,14,12
46,FCER1G,11,4,7
47,FOSL1,112,29,83
48,FOXA2,141,3,138
49,FYN,162,91,71
50,GABARAPL2,11,10,1
51,GADD45A,37,25,12
52,GADD45G,36,21,15
53,GAS1,27,25,2
54,GATA6,129,90,39
55,GNA15,10,5,5
56,GNG13,5,4,1
57,GRB2,133,67,66
58,H2AFX,44,38,6
59,HLA-DRA,13,10,3
60,HMGCL,5,4,1
61,HOXB7,7,5,2
62,HSPA1A,49,36,13
63,HSPA1B,26,24,2
64,IGF1,92,90,2
65,IGF2,62,55,7
66,IL2,9,7,2
67,IRS2,46,39,7
68,KLF2,50,46,4
69,LEF1,32,17,15
70,LSM2,10,3,7
71,LSM7,15,4,11
72,LTB,10,8,2
73,MAFG,42,36,6
74,MAP1LC3B,33,28,5
75,MAPK11,12,10,2
76,MAPK12,16,7,9
77,MDFI,66,56,10
78,MED31,30,25,5
79,MED9,17,12,5
80,MTA1,24,19,5
81,MVD,6,5,1
82,NEDD8,15,8,7
83,NFYA,218,48,170
84,NKX2-1,19,3,16
85,NME1,22,17,5
86,NPM1,37,29,8
87,PAFAH1B2,55,53,2
88,PBX2,13,10,3
89,PCNA,82,71,11
90,PFN1,52,39,13
91,PFN2,56,49,7
92,PIN1,59,39,20
93,PLA2G10,4,3,1
94,PLSCR1,61,36,25
95,POLR2E,28,24,4
96,POMC,8,5,3
97,PPIA,32,27,5
98,PPP1CA,36,30,6
99,PPP1CC,50,47,3
100,PRMT1,33,20,13
101,PRSS23,33,25,8
102,PRTN3,7,6,1
103,PSME3,51,44,7
104,PXN,52,28,24
105,RAB17,17,13,4
106,RAB5B,68,64,4
107,RAC1,74,42,32
108,RASSF1,21,13,8
109,RBL2,42,36,6
110,RBPMS,36,33,3
111,RGS19,20,12,8
112,RGS2,34,13,21
113,RHOG,22,17,5
114,RIBC2,12,4,8
115,RING1,15,12,3
116,RIT1,12,10,2
117,RNF11,84,64,20
118,RNF216,19,15,4
119,RNF4,33,32,1
120,S100A4,7,5,2
121,SDCBP,45,38,7
122,SGTA,14,8,6
123,SIAH2,24,22,2
124,SLC9A3R2,41,34,7
125,SMN1,70,29,41
126,SNIP1,46,41,5
127,SNRPD3,42,34,8
128,STMN2,16,13,3
129,SUMO2,52,43,9
130,SUMO4,27,9,18
131,SYNJ2BP,46,42,4
132,TAF10,23,12,11
133,TCEB2,14,8,6
134,TGOLN2,56,52,4
135,TLX1,44,21,23
136,TNFRSF14,24,14,10
137,TNFRSF4,7,1,6
138,TNFSF10,11,10,1
139,TNFSF11,26,15,11
140,TNFSF12,4,3,1
141,TTR,11,7,4
142,TUBB2A,43,40,3
143,TYROBP,8,6,2
144,UBB,41,24,17
145,UBD,4,3,1
146,VHL,33,27,6
147,VTA1,44,38,6
148,WNT1,21,18,3
149,YWHAE,77,58,19
150,YWHAQ,95,79,16
151,ZBTB7A,330,115,215
